temp,CQ,number
19.1,98,0
19.2,93,0
19.3,91,0
19.4,92,0
19.5,87,0
19.6,83,0
19.7,80,0
19.8,79,0
19.9,82,0
20.0,80,0
20.1,82,0
20.2,81,0
20.3,83,0
20.4,78,0
20.5,73,0
20.6,69,0
20.7,62,0
20.8,57,0
20.9,52,0
20.1,-7,1
20.7,-6,1
20.8,-6,1
20.5,-5,1
20.6,-6,1
19.2,-8,1
19.3,-8,1
20.9,-6,1
20.2,-5,1
20.3,-5,1
20.4,-5,1
20.0,-8,1
19.9,-7,1
19.8,-7,1
19.5,-7,1
19.7,-6,1
19.1,-8,1
19.4,-7,1
19.6,-6,1
19.4,126,2
19.2,126,2
20.1,122,2
20.0,123,2
19.6,128,2
19.3,125,2
20.7,122,2
20.3,123,2
20.5,124,2
20.4,121,2
19.1,125,2
20.8,123,2
19.8,124,2
19.5,127,2
20.2,122,2
19.9,123,2
20.9,122,2
20.6,123,2
19.7,126,2
20.7,-25,4
20.5,-17,4
20.6,-21,4
20.9,-29,4
20.8,-25,4
19.6,-6,4
19.5,-6,4
19.8,-4,4
20.3,-12,4
19.3,-7,4
20.1,-10,4
20.2,-11,4
19.2,-6,4
19.1,-4,4
19.4,-6,4
20.4,-12,4
19.7,-4,4
19.9,-5,4
20.0,-8,4
19.8,64,5
20.9,69,5
20.8,68,5
20.1,65,5
19.9,63,5
20.7,67,5
20.0,64,5
19.2,57,5
19.1,58,5
19.4,61,5
20.6,66,5
19.5,62,5
20.2,66,5
19.3,58,5
20.3,65,5
19.6,61,5
19.7,63,5
20.4,64,5
20.5,66,5
19.5,67,7
19.4,65,7
20.4,72,7
19.6,68,7
19.7,67,7
19.8,68,7
19.3,65,7
19.2,66,7
19.1,66,7
20.6,73,7
20.7,73,7
20.8,74,7
20.9,74,7
20.5,71,7
19.9,67,7
20.0,69,7
20.1,71,7
20.3,71,7
20.2,72,7
20.2,49,8
20.3,46,8
20.9,52,8
19.9,48,8
20.6,51,8
20.0,53,8
19.5,45,8
