temp,GR,number
19.1,40,0
19.2,43,0
19.3,42,0
19.4,41,0
19.5,44,0
19.6,43,0
19.7,41,0
19.8,38,0
19.9,38,0
20.0,37,0
20.1,31,0
20.2,30,0
20.3,26,0
20.4,26,0
20.5,27,0
20.6,29,0
20.7,35,0
20.8,34,0
20.9,37,0
20.1,15,1
20.7,14,1
20.8,14,1
20.5,13,1
20.6,14,1
19.2,17,1
19.3,17,1
20.9,14,1
20.2,13,1
20.3,13,1
20.4,13,1
20.0,16,1
19.9,15,1
19.8,15,1
19.5,16,1
19.7,15,1
19.1,17,1
19.4,16,1
19.6,15,1
19.4,2,2
19.2,2,2
20.1,2,2
20.0,2,2
19.6,2,2
19.3,2,2
20.7,2,2
20.3,2,2
20.5,2,2
20.4,2,2
19.1,2,2
20.8,2,2
19.8,2,2
19.5,2,2
20.2,2,2
19.9,2,2
20.9,2,2
20.6,2,2
19.7,2,2
20.7,39,4
20.5,28,4
20.6,33,4
20.9,48,4
20.8,43,4
19.6,13,4
19.5,13,4
19.8,11,4
20.3,21,4
19.3,14,4
20.1,17,4
20.2,19,4
19.2,14,4
19.1,12,4
19.4,13,4
20.4,22,4
19.7,11,4
19.9,12,4
20.0,15,4
19.8,1,5
20.9,2,5
20.8,2,5
20.1,2,5
19.9,1,5
20.7,2,5
20.0,2,5
19.2,1,5
19.1,1,5
19.4,1,5
20.6,2,5
19.5,1,5
20.2,2,5
19.3,1,5
20.3,2,5
19.6,1,5
19.7,1,5
20.4,2,5
20.5,2,5
19.5,1,7
19.4,1,7
20.4,1,7
19.6,1,7
19.7,1,7
19.8,1,7
19.3,1,7
19.2,1,7
19.1,1,7
20.6,1,7
20.7,1,7
20.8,1,7
20.9,1,7
20.5,1,7
19.9,1,7
20.0,1,7
20.1,1,7
20.3,1,7
20.2,1,7
20.2,70,8
20.3,73,8
20.9,67,8
19.9,71,8
20.6,68,8
20.0,69,8
19.5,75,8
19.8,73,8
19.7,76,8
19.6,75,8
20.5,72,8
20.8,66,8
19.1,74,8
20.7,65,8
20.1,68,8
19.4,72,8
19.3,72,8
19.2,73,8
20.4,74,8
20.3,27,9
20.1,27,9
20.2,26,9
19.5,30,9
20.4,27,9
20.5,27,9
20.6,27,9
19.9,29,9
20.0,27,9
19.4,29,9
20.7,27,9
20.8,26,9
19.6,28,9
19.7,28,9
19.8,27,9
19.2,30,9
20.9,27,9
19.3,30,9
19.1,30,9
19.9,21,16
19.8,21,16
20.0,21,16
20.5,21,16
20.9,19,16
19.2,20,16
19.4,20,16
19.1,21,16
20.8,20,16
20.7,19,16
20.6,21,16
19.3,21,16
20.4,21,16
19.7,20,16
19.5,20,16
19.6,20,16
20.2,22,16
20.3,22,16
20.1,22,16
19.5,19,17
19.1,21,17
19.4,19,17
19.3,20,17
19.6,19,17
20.0,5,17
20.2,2,17
20.5,2,17
20.4,2,17
20.3,2,17
19.9,13,17
19.8,17,17
19.7,18,17
20.9,2,17
20.8,2,17
20.7,2,17
20.6,2,17
20.1,3,17
19.2,19,17
20.4,1,22
19.1,1,22
19.8,1,22
19.7,1,22
19.6,1,22
20.3,1,22
19.4,1,22
19.3,1,22
19.2,1,22
19.9,1,22
20.8,1,22
20.7,1,22
20.6,1,22
20.5,1,22
20.2,1,22
20.1,1,22
20.0,1,22
20.9,1,22
19.5,1,22
19.2,3,23
20.0,7,23
19.1,3,23
20.4,5,23
20.5,5,23
20.6,5,23
20.7,6,23
19.8,6,23
19.9,7,23
20.1,7,23
19.3,3,23
19.6,3,23
19.5,3,23
19.4,3,23
19.7,4,23
20.8,8,23
20.9,10,23
20.2,6,23
20.3,6,23
19.5,2,25
19.6,2,25
19.7,2,25
19.8,2,25
19.9,2,25
20.2,2,25
20.0,2,25
20.1,2,25
19.3,2,25
19.4,2,25
19.1,2,25
19.2,2,25
20.3,2,25
20.6,2,25
20.9,2,25
20.8,2,25
20.7,2,25
20.4,2,25
20.5,3,25
19.7,42,30
19.8,46,30
20.7,46,30
20.6,48,30
19.5,36,30
20.8,47,30
20.5,51,30
19.1,36,30
20.9,46,30
19.4,36,30
19.2,41,30
19.6,40,30
19.3,39,30
19.9,47,30
