temp,KR,number
19.1,138,0
19.2,136,0
19.3,133,0
19.4,133,0
19.5,131,0
19.6,126,0
19.7,121,0
19.8,117,0
19.9,120,0
20.0,117,0
20.1,113,0
20.2,111,0
20.3,109,0
20.4,104,0
20.5,100,0
20.6,98,0
20.7,97,0
20.8,91,0
20.9,89,0
20.1,8,1
20.7,8,1
20.8,8,1
20.5,8,1
20.6,8,1
19.2,9,1
19.3,9,1
20.9,8,1
20.2,8,1
20.3,8,1
20.4,8,1
20.0,8,1
19.9,8,1
19.8,8,1
19.5,9,1
19.7,9,1
19.1,9,1
19.4,9,1
19.6,9,1
19.4,128,2
19.2,128,2
20.1,124,2
20.0,125,2
19.6,130,2
19.3,127,2
20.7,124,2
20.3,125,2
20.5,126,2
20.4,123,2
19.1,127,2
20.8,125,2
19.8,126,2
19.5,129,2
20.2,124,2
19.9,125,2
20.9,124,2
20.6,125,2
19.7,128,2
20.7,14,4
20.5,11,4
20.6,12,4
20.9,19,4
20.8,18,4
19.6,7,4
19.5,7,4
19.8,7,4
20.3,9,4
19.3,7,4
20.1,7,4
20.2,8,4
19.2,8,4
19.1,8,4
19.4,7,4
20.4,10,4
19.7,7,4
19.9,7,4
20.0,7,4
19.8,65,5
20.9,71,5
20.8,70,5
20.1,67,5
19.9,64,5
20.7,69,5
20.0,66,5
19.2,58,5
19.1,59,5
19.4,62,5
20.6,68,5
19.5,63,5
20.2,68,5
19.3,59,5
20.3,67,5
19.6,62,5
19.7,64,5
20.4,66,5
20.5,68,5
19.5,68,7
19.4,66,7
20.4,73,7
19.6,69,7
19.7,68,7
19.8,69,7
19.3,66,7
19.2,67,7
19.1,67,7
20.6,74,7
20.7,74,7
20.8,75,7
20.9,75,7
20.5,72,7
19.9,68,7
20.0,70,7
20.1,72,7
20.3,72,7
20.2,73,7
20.2,119,8
20.3,119,8
20.9,119,8
19.9,119,8
20.6,119,8
20.0,122,8
19.5,120,8
19.8,119,8
19.7,119,8
19.6,120,8
20.5,120,8
20.8,119,8
19.1,116,8
20.7,119,8
20.1,120,8
19.4,118,8
19.3,116,8
19.2,116,8
20.4,120,8
20.3,26,9
20.1,28,9
20.2,27,9
19.5,34,9
20.4,25,9
20.5,25,9
20.6,24,9
19.9,29,9
20.0,29,9
19.4,36,9
20.7,23,9
20.8,24,9
19.6,32,9
19.7,31,9
19.8,29,9
19.2,33,9
20.9,24,9
19.3,35,9
19.1,31,9
19.9,10,16
19.8,10,16
20.0,10,16
20.5,10,16
20.9,10,16
19.2,10,16
19.4,10,16
19.1,10,16
20.8,10,16
20.7,10,16
20.6,10,16
19.3,10,16
20.4,10,16
19.7,10,16
19.5,10,16
19.6,10,16
20.2,10,16
20.3,10,16
20.1,10,16
19.5,20,17
19.1,21,17
19.4,21,17
19.3,21,17
19.6,20,17
20.0,18,17
20.2,18,17
20.5,16,17
20.4,17,17
20.3,18,17
19.9,18,17
19.8,19,17
19.7,19,17
20.9,15,17
20.8,16,17
20.7,16,17
20.6,16,17
20.1,18,17
19.2,21,17
20.4,59,22
19.1,50,22
19.8,55,22
19.7,53,22
19.6,53,22
20.3,57,22
19.4,51,22
19.3,51,22
19.2,50,22
19.9,54,22
20.8,60,22
20.7,59,22
20.6,59,22
20.5,58,22
20.2,56,22
20.1,55,22
20.0,55,22
20.9,61,22
19.5,52,22
19.2,7,23
20.0,8,23
19.1,7,23
20.4,9,23
20.5,9,23
20.6,9,23
20.7,10,23
19.8,8,23
19.9,8,23
20.1,9,23
19.3,7,23
19.6,7,23
19.5,7,23
19.4,7,23
19.7,8,23
20.8,8,23
20.9,9,23
20.2,9,23
20.3,9,23
19.5,20,25
19.6,20,25
19.7,19,25
19.8,18,25
19.9,18,25
20.2,17,25
20.0,18,25
20.1,17,25
19.3,21,25
19.4,20,25
19.1,21,25
19.2,20,25
20.3,17,25
20.6,13,25
20.9,11,25
20.8,11,25
20.7,12,25
20.4,15,25
20.5,14,25
19.7,145,30
19.8,147,30
20.7,152,30
20.6,152,30
19.5,145,30
20.8,152,30
20.5,150,30
19.1,144,30
20.9,153,30
19.4,144,30
19.2,142,30
19.6,146,30
19.3,144,30
19.9,148,30
20.0,147,30
20.4,150,30
20.3,150,30
20.1,150,30
20.2,150,30
20.2,144,31
19.9,141,31
20.4,146,31
20.5,147,31
19.3,135,31
19.2,135,31
19.1,135,31
19.8,141,31
19.7,141,31
19.6,138,31
20.6,147,31
20.8,149,31
20.1,144,31
19.5,138,31
20.0,143,31
20.9,149,31
20.3,145,31
20.7,147,31
19.4,135,31
20.2,101,33
19.2,117,33
20.3,101,33
20.0,103,33
19.3,114,33
19.1,121,33
19.4,113,33
20.6,92,33
20.7,92,33
20.8,88,33
20.9,87,33
20.1,104,33
20.4,98,33
19.9,104,33
20.5,94,33
19.5,109,33
19.6,109,33
19.7,107,33
19.8,103,33
20.6,39,36
20.2,32,36
20.0,28,36
19.1,25,36
20.3,33,36
20.4,37,36
20.7,39,36
20.5,37,36
19.9,30,36
19.6,31,36
19.7,26,36
19.8,32,36
20.9,51,36
20.1,32,36
19.4,27,36
20.8,47,36
19.2,27,36
19.5,28,36
19.3,28,36
19.7,74,37
20.8,72,37
19.3,78,37
19.4,76,37
19.5,76,37
19.6,73,37
19.9,72,37
20.4,72,37
19.8,74,37
20.5,69,37
20.6,71,37
20.7,70,37
20.9,73,37
20.3,74,37
19.2,78,37
19.1,80,37
20.0,70,37
20.2,73,37
20.1,70,37
19.3,74,44
20.9,69,44
20.5,72,44
20.3,74,44
19.1,73,44
19.2,74,44
19.5,76,44
19.7,73,44
19.6,75,44
19.8,74,44
19.4,73,44
20.6,70,44
20.8,70,44
20.7,70,44
20.1,74,44
20.0,73,44
20.4,73,44
19.9,73,44
20.2,76,44
20.1,105,52
19.6,113,52
19.7,108,52
19.4,116,52
20.5,97,52
20.4,100,52
19.3,118,52
19.2,118,52
19.1,123,52
20.3,102,52
20.2,102,52
20.6,92,52
20.9,90,52
19.5,118,52
19.9,104,52
19.8,104,52
20.0,104,52
20.8,91,52
20.7,93,52
19.8,125,65
19.9,125,65
20.0,125,65
20.1,124,65
20.3,124,65
20.2,125,65
20.4,123,65
20.5,125,65
19.4,127,65
19.5,128,65
19.6,130,65
19.7,127,65
20.6,123,65
20.9,124,65
20.7,123,65
20.8,125,65
19.3,128,65
19.1,128,65
19.2,128,65
20.7,128,67
20.5,126,67
20.8,128,67
20.0,131,67
19.9,132,67
20.3,130,67
19.4,132,67
20.9,126,67
19.3,132,67
19.1,133,67
20.4,128,67
19.8,130,67
19.2,132,67
19.5,131,67
19.6,133,67
20.1,133,67
20.6,128,67
19.7,129,67
20.2,130,67
19.3,56,71
19.2,56,71
19.7,46,71
19.4,54,71
19.6,48,71
20.9,40,71
20.8,40,71
19.8,46,71
20.0,45,71
19.5,50,71
20.5,42,71
19.1,60,71
20.1,44,71
20.3,43,71
20.7,41,71
20.6,42,71
20.2,44,71
20.4,42,71
19.9,46,71
19.5,123,76
20.1,118,76
19.1,126,76
20.5,114,76
20.7,111,76
20.9,110,76
20.0,117,76
20.6,109,76
19.3,125,76
20.4,116,76
19.4,125,76
19.2,124,76
20.2,118,76
20.3,114,76
19.6,121,76
20.8,109,76
19.9,121,76
19.8,122,76
19.7,119,76
20.0,29,82
20.2,29,82
19.6,28,82
20.7,32,82
19.2,27,82
19.3,28,82
19.9,29,82
20.1,29,82
20.4,30,82
20.8,33,82
20.9,33,82
20.3,29,82
19.1,25,82
19.5,29,82
20.5,30,82
20.6,31,82
19.8,28,82
19.4,28,82
19.7,28,82
20.5,11,84
19.5,12,84
20.3,11,84
20.9,10,84
20.8,10,84
20.2,11,84
20.4,12,84
20.7,11,84
20.6,11,84
19.6,12,84
19.7,12,84
19.9,12,84
19.8,12,84
20.0,12,84
20.1,11,84
19.2,12,84
19.3,12,84
19.4,11,84
19.1,12,84
20.5,89,89
20.6,90,89
20.7,92,89
20.8,93,89
19.9,85,89
19.2,87,89
20.1,86,89
20.0,86,89
19.1,87,89
20.4,86,89
19.5,85,89
19.6,85,89
19.7,87,89
20.2,87,89
20.9,94,89
20.3,88,89
19.3,86,89
19.4,86,89
19.8,85,89
20.1,97,90
20.2,97,90
19.8,93,90
20.5,99,90
20.0,96,90
20.6,100,90
19.9,95,90
20.8,102,90
20.9,103,90
19.7,94,90
20.3,99,90
20.4,97,90
19.6,94,90
19.5,92,90
20.7,100,90
19.4,91,90
19.1,89,90
19.2,90,90
19.3,89,90
19.1,70,93
19.5,73,93
20.7,83,93
19.2,71,93
20.1,79,93
20.2,80,93
20.8,83,93
20.9,82,93
20.6,82,93
20.5,82,93
19.6,74,93
19.7,75,93
19.3,71,93
19.4,71,93
19.8,76,93
20.0,78,93
20.4,83,93
19.9,76,93
20.3,81,93
19.2,41,96
19.4,42,96
19.3,40,96
19.1,42,96
19.7,45,96
19.9,47,96
20.9,39,96
19.5,42,96
19.6,43,96
20.7,41,96
20.6,43,96
20.5,45,96
20.4,46,96
20.3,47,96
20.2,48,96
20.0,46,96
20.1,47,96
20.8,40,96
19.8,46,96
19.1,49,104
19.5,50,104
