CV,rCV_MAD,avg,mean,median,std,var,amplitude,first_order_sensitivity,second_order_sensitivity,CV_MC,rCV_MAD_MC,avg_MC,std_MC,var_MC,amplitude_MC,first_order_sensitivity_MC,second_order_sensitivity_MC,CV_KR,rCV_MAD_KR,avg_KR,std_KR,var_KR,amplitude_KR,first_order_sensitivity_KR,second_order_sensitivity_KR,CV_GR,rCV_MAD_GR,avg_GR,std_GR,var_GR,amplitude_GR,first_order_sensitivity_GR,second_order_sensitivity_GR,label
0.023706245,0.019296239,0.930150919,0.930150919,0.926491911,0.022050386,0.00048622,0.085532483,-0.001319422,0.00073276,0.084166178,0.059244324,2.908762832,0.24481945,0.059936563,1.008851111,-0.015203029,0.001770377,0.131345627,0.177405128,114.9473684,15.09783423,227.9445983,49,-2.738596491,-0.02572608,0.165409933,0.200351351,35.89473684,5.937346003,35.25207756,18,-0.773684211,0.060518944,1
0.311909779,0.376362534,1.545514567,1.545514567,1.597420511,0.482061107,0.232382911,1.536999028,-0.005991425,0.017095322,0.243146507,0.265737894,0.920830619,0.223896748,0.050129754,0.830887062,0.017244146,0.002430063,0.057642462,0.0,8.368421053,0.482376389,0.232686981,1,-0.073684211,0.005159959,0.090824457,0.09884,14.84210526,1.348026155,1.817174515,4,-0.205263158,0.014816453,0
0.00263097,0.001562703,0.853320563,0.853320563,0.852934446,0.002245061,5.04e-06,0.008957615,0.000204568,6.42e-05,0.028076747,0.024223737,3.425079433,0.096165089,0.009247724,0.309557077,-0.012541777,-0.002449715,0.015124915,0.0118608,125.9473684,1.904943271,3.628808864,7,-0.257894737,0.006560519,0.0,0.0,2.0,0.0,0.0,0,0.0,-2.18e-12,1
0.001658938,0.001580223,1.021534662,1.021534662,1.022120107,0.001694663,2.87e-06,0.005056916,0.000292568,-1.96e-05,0.129486766,0.109969847,0.86255589,0.111689573,0.012474561,0.486603619,-0.016477984,0.00015389,0.386500603,0.185325,9.473684211,3.661584659,13.40720222,12,0.522807018,0.08137992,0.540872552,0.39536,20.94736842,11.32985662,128.365651,37,1.777192982,0.209568038,1
0.265386775,0.363848638,1.290041991,1.290041991,1.207708695,0.342360084,0.117210427,1.130412392,0.014968898,0.012345079,0.040860591,0.037684637,3.073722023,0.125594098,0.015773877,0.420319919,-0.011407757,0.00395448,0.056749767,0.044927273,65.05263158,3.691721667,13.62880886,13,0.647368421,-0.017765001,0.327132172,0.0,1.526315789,0.499306999,0.249307479,1,0.078947368,-0.001105705,0
0.065042418,0.085051263,0.911874693,0.911874693,0.905041943,0.059310535,0.00351774,0.190992042,0.003387568,0.002091346,0.018829675,0.015170118,3.46635361,0.065270311,0.004260214,0.2577736,0.009370056,-0.000615986,0.04280365,0.06354,70.42105263,3.014278119,9.085872576,9,0.526315789,0.006634233,0.0,0.0,1.0,0.0,0.0,0,0.0,-2.18e-12,0
0.416711782,0.585860716,1.670610275,1.670610275,1.659087883,0.696162986,0.484642903,2.310182765,0.020182696,0.024996633,0.05639583,0.024373094,3.764795332,0.212318759,0.045079255,0.842780021,0.033285701,-0.002099444,0.012473663,0.012458824,118.8947368,1.483052927,2.199445983,6,0.138596491,-0.035014006,0.044308928,0.041183333,71.21052632,3.15526206,9.95567867,11,-0.401754386,-0.030148902,0
0.341898743,0.298393004,0.917689892,0.917689892,0.839276508,0.313757021,0.098443468,1.106303614,-0.034502646,0.009079208,0.034576376,0.046041693,4.87286303,0.168485945,0.028387514,0.573305893,0.02978314,0.00020844,0.138090919,0.204496552,28.68421053,3.961028994,15.68975069,13,-0.673684211,-0.004717677,0.048416818,0.054911111,27.84210526,1.348026155,1.817174515,4,-0.207017544,0.015332449,0
0.016874459,0.01071202,1.028762612,1.028762612,1.029325384,0.017359813,0.000301363,0.079522285,-0.000899496,0.000461378,0.274330237,0.36853162,0.383625865,0.105240175,0.011075494,0.348115836,0.015169243,0.000906503,0.0,0.0,10.0,0.0,0.0,0,0.0,-2.18e-12,0.042226901,0.0706,20.63157895,0.87120765,0.75900277,3,-0.014035088,-0.018428424,1
0.020302734,0.001446427,1.028828967,1.028828967,1.015805704,0.02088804,0.00043631,0.076959562,-0.003087591,0.000423294,0.382714826,0.034255205,0.79437875,0.304020525,0.092428479,0.960569949,0.033945074,-0.006594499,0.104875216,0.164733333,18.31578947,1.920872378,3.689750693,6,-0.343859649,-0.000147427,0.816359424,0.88956,9.947368421,8.120627952,65.94459834,19,-1.361403509,0.037151703,1
