feature,pearson_r,spearman_rho
amplitude_MC,0.5755986784906634,0.3071785829148113
mean_CQ,-0.18162404899248702,-0.2666531745113912
std_MC,0.41197334638485256,0.2666454654327816
var_MC,0.4497777009944293,0.2666454654327816
median_CQ,-0.18377495135828378,-0.26639676826260883
mean_MC,0.042961392615774655,-0.23611552815673076
median_MC,0.046577900684021935,-0.233397901164355
std_CQ,-0.24351127732242872,-0.15943328092365291
var_CQ,-0.14575002398359058,-0.15943328092365291
first_order_sensitivity_CQ,0.011950063178965185,-0.11902972129062102
amplitude_CQ,-0.22095783503831926,-0.11804041316635074
first_order_sensitivity_MC,-0.2111360185957584,-0.02720518084920823
second_order_sensitivity_MC,0.0741035503338993,0.02292636388248898
second_order_sensitivity_CQ,0.018557215507917862,0.007344012040267194
