"averagenrmse","mean_CQ","median_CQ","std_CQ","var_CQ","amplitude_CQ","first_order_sensitivity_CQ","second_order_sensitivity_CQ","mean_MC","median_MC","std_MC","var_MC","amplitude_MC","first_order_sensitivity_MC","second_order_sensitivity_MC"
1.406738968,63.52631579,64,3.282624448,10.77562327,12,0.568421053,-0.016659295,3.073722023,3.04131469,0.125594098,0.015773877,0.420319919,-0.011407757,0.00395448
0.932877402,69.42105263,69,3.014278119,9.085872576,9,0.526315789,0.006634233,3.46635361,3.488737771,0.065270311,0.004260214,0.2577736,0.009370056,-6.15986E-4
0.996049345,0.842105263,1,2.978221969,8.869806094,11,-0.466666667,-0.020050125,4.87286303,4.898506556,0.168485945,0.028387514,0.573305893,0.02978314,2.0844E-4
1.035556565,8.368421053,13,6.466191642,41.81163435,16,1.01754386,-0.03729913,0.79437875,0.921463129,0.304020525,0.092428479,0.960569949,0.033945074,-0.006594499
0.979777242,60.63157895,65,13.42115583,180.1274238,49,-2.250877193,-0.152808492,1.770830826,1.760215758,0.385181974,0.148365153,1.473008986,-0.068164477,0.001080579
1.053434365,-9.789473684,-10,1.104009314,1.218836565,3,0.189473684,0.008108507,0.429890381,0.462682364,0.12965067,0.016809296,0.524747117,-3.5883E-4,0.001446748
1.012520624,5.526315789,6,1.271899576,1.617728532,4,-0.221052632,-0.009877635,0.894854207,0.90197753,0.056084066,0.003145422,0.218406181,-0.006406119,3.94043E-4
0.933028296,86.42105263,87,4.671478854,21.82271468,18,-0.615789474,0.052410438,3.738047693,4.041268971,0.735462476,0.540905054,2.441689696,-0.109266968,0.004781244
1.081810388,50.21052632,50,2.166222698,4.692520776,9,0.350877193,0.020492407,3.058518261,3.048944707,0.027171066,7.38267E-4,0.093814505,-7.69674E-4,3.66941E-4
1.012632162,-21.78947368,-22,5.1358282,26.3767313,19,-0.070175439,0.108506561,0.83341765,0.890469736,0.567845701,0.32244874,1.813061929,-0.097662339,-0.001828951
0.984940533,84.52631579,85,2.478718282,6.144044321,9,0.407017544,-0.023146101,3.941957114,3.895209879,0.135262786,0.018296021,0.449027109,0.022727347,0.001628396
0.995143824,-8.789473684,-9,1.640890239,2.692520776,5,0.270175439,0.007223942,2.579913156,2.613515198,0.242833571,0.058968143,0.889623612,-0.0060652,0.00332915
1.13209329,30.89473684,31,0.967619806,0.936288089,4,0.026315789,-0.004938818,4.035672962,3.933771163,0.416690158,0.173630688,1.424013622,0.069371049,0.001469262
0.888338399,119.5263158,119,4.816292755,23.1966759,18,0.624561404,0.010909627,4.768342236,4.779881081,0.075060668,0.005634104,0.266024995,-0.005096889,-0.001576371
1.511746031,118.3684211,119,2.388801204,5.706371191,9,-0.226315789,-0.037077989,4.399525959,4.350525732,0.168206269,0.028293349,0.579876247,-0.025716215,0.00140651
1.350696292,-3.947368421,-3,3.284311739,10.7867036,13,-0.577192982,-0.005233672,2.97566377,2.960203604,0.592610166,0.351186808,1.914726824,-0.091972162,-0.004638471
2.181722123,58.42105263,58,1.566618533,2.454293629,6,0.00877193,-0.034424296,4.243643524,4.218637998,0.227363995,0.051694386,0.683882847,0.041224979,4.14002E-4
