,count,mean,std,min,25%,50%,75%,max
averagenrmse,44.0,0.9978194348409091,0.16418325340594506,0.757411763,0.8814987085,0.969144301,1.06052837075,1.511746031
mean_CQ,44.0,50.69617225177274,43.85831883649045,-21.78947368,13.81578947575,41.73684211,86.0657894725,139.0526316
median_CQ,44.0,51.11363636363637,43.845508857059244,-22.0,15.25,41.0,86.25,139.0
std_CQ,44.0,3.4458812612272736,2.494054421306868,0.967619806,1.7336488255,2.79592246,4.68415903825,13.42115583
var_CQ,44.0,17.953034499204545,31.49382094717611,0.936288089,3.005540166,7.8504155125,21.941828255,180.1274238
amplitude_CQ,44.0,11.772727272727273,8.528648401229649,3.0,7.0,9.0,16.0,49.0
first_order_sensitivity_CQ,44.0,-0.04840510361363635,0.6798549834559152,-2.250877193,-0.40877192975,0.030701754,0.32456140375,1.01754386
second_order_sensitivity_CQ,44.0,-0.0037057885681818187,0.05000306855357406,-0.168509508,-0.023311956749999998,-0.0051968155,0.0145031695,0.155093616
mean_MC,44.0,3.8818949941590914,1.3233663561558047,0.429890381,3.3914753217499998,4.094038532,4.893049433750001,5.444717156
median_MC,44.0,3.900307951272728,1.3172106534459695,0.462682364,3.417670609,4.088356781,4.91628418075,5.510507157
std_MC,44.0,0.2153910522045455,0.16523059555843425,0.027171066,0.0952104385,0.1589295805,0.2975077905,0.735462476
var_MC,44.0,0.07307397438636365,0.1106766434924471,0.000738267,0.009066375750000001,0.0252587235,0.08852502374999999,0.540905054
amplitude_MC,44.0,0.7215210652045455,0.5335802018263212,0.093814505,0.32404286725,0.5395709295,0.991047742,2.441689696
first_order_sensitivity_MC,44.0,-0.0036842317045454554,0.042116146900069616,-0.109266968,-0.0124586975,0.0029285764999999997,0.024926203,0.069371049
second_order_sensitivity_MC,44.0,-0.0005547752272727274,0.0029907657637426653,-0.008836106,-0.001452534,0.0001013685,0.0011090535,0.004781244
