number,values,param_gamma,param_theta,param_m0,param_n_instances,param_size_inst_0,param_weight_inst_0,param_size_inst_1,param_weight_inst_1,param_size_inst_2,param_weight_inst_2,param_size_inst_3,param_weight_inst_3,param_size_inst_4,param_weight_inst_4,param_size_inst_5,param_weight_inst_5,param_size_inst_6,param_weight_inst_6,attr_custom_sizes,attr_gamma,attr_m0,attr_n_instances,attr_theta,attr_weights
9,"[0.5793240274321253, 0.9960493446223455]",0.145185142,0.402765729,0.007496929,7,33.29336697,0.016209664,19.70333579,0.571564857,27.89392712,0.806721907,29.24977393,0.318748266,25.9653581,0.018078073,34.02809862,0.550272118,25.6181263,0.513740441,"[33.29336697119116, 19.70333578925802, 27.89392712096008, 29.24977392552313, 25.96535810114984, 34.02809861947588, 25.618126302614368]",0.145185142,0.007496929,7,0.402765729,"[0.005798826454327344, 0.20447094533663537, 0.28859575442632796, 0.11402863289850063, 0.006467228732954131, 0.19685370573286257, 0.18378490641839193]"
31,"[0.7044907209129067, 0.7574117625147241]",0.138113559,0.258741778,0.001403945,5,20.02201099,0.73196788,34.91316431,0.359199125,21.51203091,0.920059496,26.91485586,0.088438077,22.84738365,0.597752051,,,,,"[20.022010988633276, 34.91316430667953, 21.512030905602636, 26.914855858706932, 22.847383645097555]",0.138113559,0.001403945,5,0.258741778,"[0.27135885195874415, 0.13316412503710276, 0.3410891318922953, 0.032786213253582185, 0.2216016778582756]"
88,"[0.5714515293258459, 1.0209072693174095]",0.135831068,0.402765729,0.007496929,4,20.77308379,0.68356569,33.7739004,0.765453912,28.28303332,0.208969402,28.38004729,0.754889211,,,,,,,"[20.773083794771086, 33.77390039620012, 28.28303332217334, 28.38004728532956]",0.135831068,0.007496929,4,0.402765729,"[0.28329887780198376, 0.31723686145673013, 0.08660586358829975, 0.31285839715298636]"
89,"[0.5650332313577048, 1.1537124078793275]",0.138113559,0.258741778,0.007710047,5,20.02201099,0.73196788,34.91316431,0.359199125,36.06977957,0.008867023,28.70252611,0.206558529,28.44172484,0.611814736,,,,,"[20.022010988633276, 34.91316430667953, 36.069779572776895, 28.702526107148472, 28.44172483673517]",0.138113559,0.007710047,5,0.258741778,"[0.3815497794850731, 0.1872381983358108, 0.004622075100171398, 0.10767188499464372, 0.318918062084301]"
142,"[0.5664792403453596, 1.0886379683901972]",0.135831068,0.590923124,0.004930962,5,20.77308379,0.73196788,34.85504682,0.016330656,27.14280693,0.436983944,20.89431403,0.783796785,39.27090912,0.01471717,,,,,"[20.773083794771086, 34.85504682455327, 27.142806927723132, 20.894314031399517, 39.27090911606638]",0.135831068,0.004930962,5,0.590923124,"[0.36897328115979233, 0.008232021918420436, 0.22027660522641365, 0.3950994022341092, 0.0074186894612643635]"
161,"[0.6197113901891743, 0.802191398702377]",0.135831068,0.402765729,0.007496929,4,20.77308379,0.818547352,33.7739004,0.765453912,22.58064288,0.656151714,24.90731099,0.053951642,,,,,,,"[20.773083794771086, 33.77390039620012, 22.580642878850178, 24.907310987656867]",0.135831068,0.007496929,4,0.402765729,"[0.356804717933152, 0.33366129218646307, 0.2860164739126149, 0.023517515967769992]"
239,"[0.6059003033346885, 0.8494957843525585]",0.135831068,0.590923124,0.007496929,4,20.77308379,0.68356569,24.95271575,0.765453912,30.2448882,0.37752835,18.05707579,0.95918673,,,,,,,"[20.773083794771086, 24.952715754119584, 30.244888204486877, 18.057075787775304]",0.135831068,0.007496929,4,0.590923124,"[0.24538075886768748, 0.274776315420021, 0.13552200529990116, 0.34432092041239026]"
260,"[0.5893561185037398, 0.8849467901307162]",0.135831068,0.483344684,0.004930962,5,20.77308379,0.68356569,33.7739004,0.765453912,18.94140187,0.071559225,18.37323614,0.626758616,21.9473126,0.886957292,,,,,"[20.773083794771086, 33.77390039620012, 18.941401869375884, 18.373236140014853, 21.947312602729124]",0.135831068,0.004930962,5,0.483344684,"[0.22527992499361624, 0.25226748834541957, 0.023583478654997273, 0.20655825179293974, 0.2923108562130272]"
287,"[0.5641263290729561, 1.2281170710682505]",0.148265166,0.402765729,0.007480729,7,25.61840145,0.016209664,19.70333579,0.189772598,31.95518663,0.243703645,17.43252078,0.790565251,26.65604221,0.564245844,27.92651926,0.586631136,19.17061924,0.867064353,"[25.61840145128514, 19.70333578925802, 31.955186631753207, 17.43252078215613, 26.656042208594968, 27.926519260762273, 19.170619235848548]",0.148265166,0.007480729,7,0.402765729,"[0.004975048120402078, 0.058244747287795, 0.07479719072761103, 0.24263920966073263, 0.17317756556837033, 0.18004802889526222, 0.26611820973982664]"
289,"[0.6015272616917885, 0.85628647292729]",0.138113559,0.258741778,0.007496929,5,20.02201099,0.73196788,34.91316431,0.765453912,39.74522799,0.563756563,25.02104181,0.402432574,26.74596748,0.8897654,,,,,"[20.022010988633276, 34.91316430667953, 39.74522798768966, 25.0210418056921, 26.745967480329384]",0.138113559,0.007496929,5,0.258741778,"[0.21827788113868146, 0.2282636474070474, 0.16811610385919262, 0.12000817512798354, 0.26533419246709494]"
291,"[0.6816899598853196, 0.8005595344662926]",0.138113559,0.239131681,0.001519565,7,20.02201099,0.73196788,15.7490152,0.172859245,30.83470406,0.796581278,23.49994662,0.245062038,25.25008001,0.692338854,34.88090911,0.711607353,33.88145672,0.797813465,"[20.022010988633276, 15.749015197915853, 30.834704057255294, 23.49994662146552, 25.250080010918847, 34.88090911049666, 33.881456719822054]",0.138113559,0.001519565,7,0.239131681,"[0.17645305577024809, 0.04167060178500822, 0.19202919234494947, 0.059076288354021136, 0.1668998187807999, 0.1715448115217582, 0.1923262314432151]"
