number,values,param_gamma,param_theta,param_m0,param_n_instances,param_size_inst_0,param_weight_inst_0,param_size_inst_1,param_weight_inst_1,param_size_inst_2,param_weight_inst_2,param_size_inst_3,param_weight_inst_3,param_size_inst_4,param_weight_inst_4,param_size_inst_5,param_weight_inst_5,param_size_inst_6,param_weight_inst_6,attr_custom_sizes,attr_gamma,attr_m0,attr_n_instances,attr_theta,attr_weights
5,"[0.8623848666819087, 1.4067389679606208]",0.027522955,0.579035868,0.005262744,7,39.810498,0.066680036,21.45133529,0.980579744,32.5540682,0.337205099,38.40733898,0.244926504,39.47341261,0.163131387,34.2245402,0.277002085,28.18583012,0.17521217,"[39.810498002982555, 21.451335294662986, 32.55406820457944, 38.4073389822356, 39.47341261407578, 34.22454019774672, 28.185830119379748]",0.027522955,0.005262744,7,0.579035868,"[0.029705054580121296, 0.4368350204200816, 0.15022031300831046, 0.10911144658327188, 0.0726728278357301, 0.12340068446649625, 0.07805465310598851]"
7,"[0.844213922703283, 0.9328774017815353]",0.03820258,0.581098741,0.003838969,6,23.73339793,0.090584119,34.3630941,0.694452882,20.69983582,0.16847421,17.60911758,0.275983742,29.309704,0.06221082,24.64513218,0.707507986,,,"[23.733397932696953, 34.363094101569416, 20.699835816396533, 17.609117582075296, 29.30970399639181, 24.645132183459054]",0.03820258,0.003838969,6,0.581098741,"[0.04530987152100628, 0.34736299653560815, 0.08427023317538443, 0.13804613985734926, 0.031117643213098015, 0.35389311569755383]"
9,"[0.5793240274321253, 0.9960493446223455]",0.145185142,0.402765729,0.007496929,7,33.29336697,0.016209664,19.70333579,0.571564857,27.89392712,0.806721907,29.24977393,0.318748266,25.9653581,0.018078073,34.02809862,0.550272118,25.6181263,0.513740441,"[33.29336697119116, 19.70333578925802, 27.89392712096008, 29.24977392552313, 25.96535810114984, 34.02809861947588, 25.618126302614368]",0.145185142,0.007496929,7,0.402765729,"[0.005798826454327344, 0.20447094533663537, 0.28859575442632796, 0.11402863289850063, 0.006467228732954131, 0.19685370573286257, 0.18378490641839193]"
17,"[1.0149810512798925, 1.0355565653803145]",0.407325162,0.183248096,0.005229696,5,24.99837509,0.683603289,25.50258021,0.09666684,38.97796043,0.437682112,23.91283742,0.78098989,34.65920428,0.768547873,,,,,"[24.99837508504335, 25.502580205174144, 38.97796043197738, 23.91283742068782, 34.65920427746805]",0.407325162,0.005229696,5,0.183248096,"[0.2470120174716679, 0.03492942694273582, 0.15815128919471108, 0.2822015215353703, 0.277705744855515]"
33,"[0.9580006652035215, 0.9797772417431079]",0.134606397,0.047443242,0.005473205,2,26.46022575,0.782733998,33.42444064,0.215851239,,,,,,,,,,,"[26.46022574720999, 33.424440635200455]",0.134606397,0.005473205,2,0.047443242,"[0.7838429495781418, 0.21615705042185823]"
46,"[1.0310078729168888, 1.0534343651188651]",0.237370805,0.12886026,0.001270255,2,19.51276539,0.728882462,30.27272942,0.819215216,,,,,,,,,,,"[19.512765385189535, 30.272729418436526]",0.237370805,0.001270255,2,0.12886026,"[0.47082459496755863, 0.5291754050324413]"
73,"[1.0110737249703543, 1.0125206239594837]",0.339598118,0.471233923,0.004355511,3,31.11430088,0.295374923,31.6306134,0.359199125,33.19863801,0.262837069,,,,,,,,,"[31.114300878368315, 31.63061340264587, 33.19863800782247]",0.339598118,0.004355511,3,0.471233923,"[0.32196571173350774, 0.39153561403164355, 0.2864986742348487]"
76,"[0.8605403937917215, 0.9330282959444679]",0.097634765,0.344287788,0.004469486,3,31.11430088,0.690172456,31.6306134,0.329740637,27.28957815,0.186394434,,,,,,,,,"[31.114300878368315, 31.63061340264587, 27.28957815029497]",0.097634765,0.004469486,3,0.344287788,"[0.5721364081491053, 0.27334707748779963, 0.15451651436309494]"
90,"[0.8442406334760215, 0.8499527106014865]",0.052685684,0.534068606,0.002959721,7,34.04959117,0.933678683,32.86435185,0.921848907,31.75748036,0.869624355,27.03334042,0.780317938,24.03064397,0.979019065,17.84475639,0.548742245,31.33490183,0.650724032,"[34.049591168916166, 32.864351851410234, 31.75748035931516, 27.033340415159437, 24.030643973678384, 17.84475638717209, 31.334901834795243]",0.052685684,0.002959721,7,0.534068606,"[0.16426566466526732, 0.16218440689226213, 0.15299634159006506, 0.13728432172792682, 0.17224257170667856, 0.09654232366222681, 0.11448436975557331]"
93,"[0.8439433875231748, 0.8957028038687491]",0.03820258,0.258741778,0.004631149,6,23.73339793,0.73196788,34.3630941,0.301602426,23.343334,0.911882619,34.85227691,0.336281604,21.71144728,0.52186453,27.64850767,0.30309356,,,"[23.733397932696953, 34.363094101569416, 23.34333400480117, 34.852276908388205, 21.711447275167217, 27.648507672007344]",0.03820258,0.004631149,6,0.258741778,"[0.2356100102396656, 0.09708151490876504, 0.29352199628471987, 0.10824424740542142, 0.16798074145738773, 0.09756148970404031]"
104,"[0.855859250230295, 1.0818103882184429]",0.027522955,0.579035868,0.003391123,7,39.810498,0.066680036,24.22663576,0.980579744,15.27061755,0.5752428,34.37222886,0.185481271,36.33796802,0.237835174,22.50380491,0.652855734,21.90530465,0.040372733,"[39.810498002982555, 24.22663576203427, 15.270617547828797, 34.37222886287835, 36.33796801989157, 22.503804908099912, 21.905304652244766]",0.027522955,0.003391123,7,0.579035868,"[0.024344242320444447, 0.3580002710474515, 0.2100156356641317, 0.06771743509426664, 0.08683134357476127, 0.2383513742949713, 0.014739698003973189]"
109,"[1.011830453746546, 1.0126321615891747]",0.163626018,0.323608677,0.002325408,2,32.62014133,0.388906743,36.55480135,0.83083132,,,,,,,,,,,"[32.62014133370529, 36.554801354079274]",0.163626018,0.002325408,2,0.323608677,"[0.3188444756954634, 0.6811555243045365]"
111,"[0.8267490572552257, 0.9849405327279288]",0.085955293,0.12886026,0.007519579,2,34.04959117,0.089432045,16.10189259,0.138496624,,,,,,,,,,,"[34.049591168916166, 16.101892590916627]",0.085955293,0.007519579,2,0.12886026,"[0.3923685667286167, 0.6076314332713834]"
113,"[0.9419029353093653, 0.9951438241999134]",0.185635866,0.151309064,0.003950256,3,18.75189321,0.993140829,26.13449542,0.79363102,15.12715514,0.184969517,,,,,,,,,"[18.75189320620461, 26.134495422247944, 15.127155142464044]",0.185635866,0.003950256,3,0.151309064,"[0.5036871702080056, 0.40250259680342265, 0.0938102329885718]"
148,"[1.01840316126805, 1.037768130353991]",0.138012433,0.026458571,0.003480367,6,37.96610483,0.875136199,24.30021738,0.61892436,31.49454554,0.486188304,26.69478749,0.75029535,36.51078339,0.870929978,23.10519884,0.876518681,,,"[37.96610483224712, 24.30021738324406, 31.49454554333733, 26.694787488582293, 36.510783385476785, 23.105198837493976]",0.138012433,0.003480367,6,0.026458571,"[0.19543045823393385, 0.13821468189828812, 0.10857281771078435, 0.16755170704552802, 0.19449114881930457, 0.195739186292161]"
