number,values,param_gamma,param_theta,param_m0,param_n_instances,param_size_inst_0,param_weight_inst_0,param_size_inst_1,param_weight_inst_1,param_size_inst_2,param_weight_inst_2,param_size_inst_3,param_weight_inst_3,param_size_inst_4,param_weight_inst_4,param_size_inst_5,param_weight_inst_5,param_size_inst_6,param_weight_inst_6,attr_custom_sizes,attr_gamma,attr_m0,attr_n_instances,attr_theta,attr_weights
0,"[0.9077714244178551, 0.9377118794207172]",0.097634765,0.344287788,0.002463835,3,29.19250929,0.690172456,39.42210031,0.329740637,32.52407612,0.552513212,,,,,,,,,"[29.19250929258306, 39.42210030947926, 32.52407612146507]",0.097634765,0.002463835,3,0.344287788,"[0.4389219728468361, 0.20970180679638611, 0.35137622035677774]"
1,"[0.7731681076118871, 1.6659200347562437]",0.175651093,0.46358712,0.005799539,6,31.04575754,0.071007489,25.30868264,0.915040825,29.23964169,0.699801436,15.48069939,0.074703587,19.04513902,0.238266786,19.61595167,0.096120797,,,"[31.04575753505785, 25.308682636168104, 29.2396416933891, 15.480699390773939, 19.045139017153392, 19.615951673769118]",0.175651093,0.005799539,6,0.46358712,"[0.0338947451409393, 0.4367859813131952, 0.33404351873944604, 0.035659042311603655, 0.11373436997957426, 0.045882342515241446]"
2,"[0.8513945168390432, 0.8540927606380886]",0.063400363,0.151309064,0.003950256,3,24.05814451,0.818547352,26.13449542,0.79363102,35.840953,0.624311228,,,,,,,,,"[24.058144508324965, 26.134495422247944, 35.84095299999919]",0.063400363,0.003950256,3,0.151309064,"[0.3659964937205785, 0.35485567222460407, 0.27914783405481736]"
4,"[1.017794328608269, 1.0213280070453759]",0.222340869,0.553824156,0.003652479,2,34.18806942,0.153445753,37.01382373,0.187970696,,,,,,,,,,,"[34.188069423292575, 37.01382373046046]",0.222340869,0.003652479,2,0.553824156,"[0.4494386661256581, 0.5505613338743419]"
8,"[0.6316338424904094, 1.8802809219380643]",0.148265166,0.369545047,0.001445522,7,18.17083876,0.811968443,15.7490152,0.172859245,39.16471642,0.137848136,25.17852902,0.793212617,15.41310147,0.467570352,36.52936593,0.900854158,17.83295293,0.593695685,"[18.1708387639168, 15.749015197915853, 39.16471641956533, 25.178529019141884, 15.41310147489853, 36.5293659299227, 17.832952929433844]",0.148265166,0.001445522,7,0.369545047,"[0.20937767787300796, 0.04457422904589099, 0.035546113815637756, 0.20454121978092618, 0.12056970374176176, 0.23229813085518283, 0.15309292488759246]"
16,"[0.9830705829268931, 1.0316665862999854]",0.204672614,0.271970015,0.001517011,3,18.38617027,0.428835961,36.4095337,0.499887958,23.52171714,0.465067476,,,,,,,,,"[18.386170271815704, 36.40953369601713, 23.52171714193361]",0.204672614,0.001517011,3,0.271970015,"[0.30767585633802075, 0.3586533536979086, 0.33367078996407074]"
22,"[0.8547153956119162, 0.8632269917565549]",0.030289273,0.408587134,0.004785058,6,31.52604366,0.543547788,25.06340535,0.557608877,33.67577362,0.145626318,21.37771647,0.406452681,20.66186149,0.426412031,27.53611548,0.192158684,,,"[31.52604366410388, 25.06340535358808, 33.675773619760854, 21.37771647190217, 20.66186149369033, 27.536115479131375]",0.030289273,0.004785058,6,0.408587134,"[0.23925797234048318, 0.24544735968365675, 0.0641015533537552, 0.17891167345326747, 0.18769734742814503, 0.08458409374069241]"
23,"[1.0094760241167002, 1.014968865749248]",0.241521275,0.328621137,0.006793342,3,35.14418491,0.271080233,29.76838879,0.266180682,37.65302849,0.168292379,,,,,,,,,"[35.14418490738089, 29.768388793969045, 37.65302848791051]",0.241521275,0.006793342,3,0.328621137,"[0.3842094354489948, 0.3772651688768606, 0.2385253956741446]"
25,"[0.9234930074161004, 0.943788362889813]",0.006835518,0.026458571,0.007480729,4,37.96610483,0.875136199,24.30021738,0.449237525,30.86506188,0.200055269,34.31688432,0.858894828,,,,,,,"[37.96610483224712, 24.30021738324406, 30.86506187689367, 34.31688432424242]",0.006835518,0.007480729,4,0.026458571,"[0.3671914790956853, 0.18849202151417327, 0.0839396088255684, 0.3603768905645731]"
30,"[0.7181639433394027, 1.477070660718858]",0.143122614,0.052357984,0.002325408,7,31.57487166,0.388906743,20.56609502,0.334272582,26.86137975,0.249765735,15.57992929,0.720085354,39.54047819,0.756881123,28.63015391,0.524617538,18.72908532,0.431120217,"[31.574871662367023, 20.56609502338657, 26.861379754331004, 15.579929294308668, 39.54047818770394, 28.630153913745374, 18.72908531699303]",0.143122614,0.002325408,7,0.052357984,"[0.11419459552270649, 0.09815237960583653, 0.07333865390113532, 0.21143849284280822, 0.2222428259972919, 0.15404332421259437, 0.12658972791762715]"
31,"[0.7044907209129067, 0.7574117625147241]",0.138113559,0.258741778,0.001403945,5,20.02201099,0.73196788,34.91316431,0.359199125,21.51203091,0.920059496,26.91485586,0.088438077,22.84738365,0.597752051,,,,,"[20.022010988633276, 34.91316430667953, 21.512030905602636, 26.914855858706932, 22.847383645097555]",0.138113559,0.001403945,5,0.258741778,"[0.27135885195874415, 0.13316412503710276, 0.3410891318922953, 0.032786213253582185, 0.2216016778582756]"
36,"[0.8718036311660872, 1.2724419998989267]",0.074014245,0.420381746,0.001401846,4,37.11384062,0.952238952,15.7196479,0.602020588,16.14440878,0.094990507,39.73040115,0.36682245,,,,,,,"[37.11384062308771, 15.719647904415593, 16.144408784536886, 39.73040115074948]",0.074014245,0.001401846,4,0.420381746,"[0.4723237646381351, 0.29861058508813765, 0.04711661274903104, 0.18194903752469616]"
37,"[0.802860807439757, 2.0725811117802015]",0.08597448,0.512197797,0.001975369,5,24.99225577,0.107226046,15.60213272,0.947608061,31.8596095,0.692908144,33.54532181,0.87252529,26.13158149,0.314763346,,,,,"[24.992255772397783, 15.602132722384843, 31.859609498431833, 33.54532180565012, 26.131581489206702]",0.08597448,0.001975369,5,0.512197797,"[0.036533191610474296, 0.322861358972915, 0.2360820620693877, 0.2972797642010484, 0.10724362314617462]"
44,"[0.8716900954031429, 0.8765060494666953]",0.025446652,0.051611089,0.004708991,6,22.5155336,0.881878081,39.45484711,0.794768213,38.97732438,0.881598384,23.19896201,0.944127345,32.41613993,0.105088613,20.21468377,0.644760925,,,"[22.515533602027727, 39.45484711249573, 38.9773243801112, 23.19896201427511, 32.41613992888935, 20.214683773078523]",0.025446652,0.004708991,6,0.051611089,"[0.20739231682475484, 0.18690658561557036, 0.20732654013592255, 0.2220315500719935, 0.02471381404179436, 0.15162919330996447]"
