number,values,param_gamma,param_theta,param_m0,param_beta_prime,attr_gamma,attr_m0,attr_theta
113,"[0.5857284766921129, 2.692442504145985]",0.0630671506827451,0.3910986340222043,0.0063206813962279,43.196112604581096,0.0630671506827451,0.0063206813962279,0.3910986340222043
136,"[0.6353463020226391, 0.9984102839122928]",0.068413717577029,0.2493991307629331,0.0072732858955437,35.52274280075077,0.068413717577029,0.0072732858955437,0.2493991307629331
158,"[0.6356352713306812, 0.9906049142079875]",0.068413717577029,0.2493991307629331,0.0072732858955437,35.41692364327686,0.068413717577029,0.0072732858955437,0.2493991307629331
213,"[0.5857284766921129, 2.692442504145985]",0.0630671506827451,0.3910986340222043,0.0063206813962279,43.196112604581096,0.0630671506827451,0.0063206813962279,0.3910986340222043
226,"[0.6353463020226391, 0.9984102839122928]",0.068413717577029,0.2493991307629331,0.0072732858955437,35.52274280075077,0.068413717577029,0.0072732858955437,0.2493991307629331
227,"[0.6356352713306812, 0.9906049142079875]",0.068413717577029,0.2493991307629331,0.0072732858955437,35.41692364327686,0.068413717577029,0.0072732858955437,0.2493991307629331
230,"[0.608818421802231, 2.0141198205886734]",0.068413717577029,0.4264371597181579,0.0026975905376818,40.29590871187694,0.068413717577029,0.0026975905376818,0.4264371597181579
239,"[0.537194346998391, 5.023692268506197]",0.0630671506827451,0.4770343384601584,0.0077564452774728,42.41511154241235,0.0630671506827451,0.0077564452774728,0.4770343384601584
250,"[0.6116444561495191, 1.9099712875356378]",0.0746925548947409,0.2493991307629331,0.0072732858955437,35.41692364327686,0.0746925548947409,0.0072732858955437,0.2493991307629331
257,"[0.6267657173640189, 1.0558732044437948]",0.0709821680356578,0.2493991307629331,0.0070791929245981,35.52274280075077,0.0709821680356578,0.0070791929245981,0.2493991307629331
266,"[0.537194346998391, 5.023692268506197]",0.0630671506827451,0.4770343384601584,0.0077564452774728,42.41511154241235,0.0630671506827451,0.0077564452774728,0.4770343384601584
289,"[0.5857284766921129, 2.692442504145985]",0.0630671506827451,0.3910986340222043,0.0063206813962279,43.196112604581096,0.0630671506827451,0.0063206813962279,0.3910986340222043
296,"[0.7376156211525484, 0.8267613502359055]",0.10410106383815,0.0425719763093837,0.0010491889230397,24.962097033296686,0.10410106383815,0.0010491889230397,0.0425719763093837
190,"[1.0834661214138996, 1.3215268815119385]",0.3686935031766043,0.4978218151062945,0.002442268237128,28.162552883539803,0.3686935031766043,0.002442268237128,0.4978218151062945
24,"[0.9977987093406692, 1.0468943723357222]",0.2014864747419649,0.4264371597181579,0.0026975905376818,23.210450149935507,0.2014864747419649,0.0026975905376818,0.4264371597181579
141,"[0.85459730854053, 2.7531730899151223]",0.0184395849693466,0.39465090334847,0.0053597390627217,27.830478120232264,0.0184395849693466,0.0053597390627217,0.39465090334847
33,"[0.8886188776075337, 1.1785755466101513]",0.1119211456415776,0.4978218151062945,0.0062949830288256,32.04583497455442,0.1119211456415776,0.0062949830288256,0.4978218151062945
