number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gamma,attr_m0,attr_theta
0,COMPLETE,"[1.0106321004873104, 2.230528989547788]",2026-01-06T19:45:00.115061,2026-01-06T19:49:00.816535,240.701474,0.2516206378745789,0.5693672158341696,0.006538744542792044,41.1659616487661,0.2516206378745789,0.006538744542792044,0.5693672158341696
1,COMPLETE,"[0.910681107193273, 1.0124869183142904]",2026-01-06T19:49:00.827545,2026-01-06T19:53:01.280787,240.453242,0.10942189358409271,0.03515342462158583,0.0027460217194105654,36.526383166561786,0.10942189358409271,0.0027460217194105654,0.03515342462158583
2,COMPLETE,"[0.9481616554492897, 2.3527896030939797]",2026-01-06T19:53:01.290796,2026-01-06T19:56:58.758518,237.467722,0.11635734295270883,0.19469463561991682,0.006307195561543245,44.07783315148832,0.11635734295270883,0.006307195561543245,0.19469463561991682
3,COMPLETE,"[1.0080625742765277, 1.1425250459119507]",2026-01-06T19:56:58.768526,2026-01-06T20:00:58.776659,240.008133,0.4806565124071959,0.17875557576378848,0.004556525555539965,42.75660952315083,0.4806565124071959,0.004556525555539965,0.17875557576378848
4,COMPLETE,"[1.0454939543618031, 3.504208080352541]",2026-01-06T20:00:58.787669,2026-01-06T20:04:56.619402,237.831733,0.4534324946373229,0.08587080366636786,0.004326460350035415,49.96753990137864,0.4534324946373229,0.004326460350035415,0.08587080366636786
5,COMPLETE,"[5.41362396952827, 19.020775704531598]",2026-01-06T20:04:56.630412,2026-01-06T20:08:53.445728,236.815316,0.3777550019369475,0.5818886304155841,0.0016935704454218263,40.418283735860655,0.3777550019369475,0.0016935704454218263,0.5818886304155841
6,COMPLETE,"[1.033184507895588, 1.0732606231273587]",2026-01-06T20:08:53.454736,2026-01-06T20:12:50.516698,237.061962,0.3273051977576971,0.37823903026085065,0.007891421948020335,25.511224268691848,0.3273051977576971,0.007891421948020335,0.37823903026085065
7,COMPLETE,"[1.1006353906436737, 1.5859864560966461]",2026-01-06T20:12:50.526708,2026-01-06T20:16:50.069995,239.543287,0.3350879183063552,0.26380545596400873,0.0025663278287144315,44.28780667976978,0.3350879183063552,0.0025663278287144315,0.26380545596400873
8,COMPLETE,"[1.0580444977794439, 1.116847036469314]",2026-01-06T20:16:50.080003,2026-01-06T20:20:49.891427,239.811424,0.16251661256777306,0.36579719889749723,0.003188254108160212,40.017200601313625,0.16251661256777306,0.003188254108160212,0.36579719889749723
9,COMPLETE,"[1.0218921329925017, 1.4759036850340925]",2026-01-06T20:20:49.901436,2026-01-06T20:24:51.931179,242.029743,0.34821666116519234,0.0572351742965083,0.006224925249686806,48.2303971219434,0.34821666116519234,0.006224925249686806,0.0572351742965083
10,COMPLETE,"[1.057680949122168, 1.2137548224043484]",2026-01-06T20:24:51.941188,2026-01-06T20:28:54.710905,242.769717,0.3329822531024739,0.48550112701362824,0.0024576086595761775,25.922107847359342,0.3329822531024739,0.0024576086595761775,0.48550112701362824
11,COMPLETE,"[1.0782335173433901, 1.3148785199199327]",2026-01-06T20:28:54.720914,2026-01-06T20:32:55.324845,240.603931,0.40121915259524177,0.14270258031982502,0.0039011786154404425,34.22920569461306,0.40121915259524177,0.0039011786154404425,0.14270258031982502
12,COMPLETE,"[1.0739432533084345, 1.2447020652388554]",2026-01-06T20:32:55.334845,2026-01-06T20:36:53.197187,237.862342,0.4080198781168899,0.18384352953957944,0.007353446494331021,41.449922735492336,0.4080198781168899,0.007353446494331021,0.18384352953957944
13,COMPLETE,"[0.8348441840308751, 1.4061878273211375]",2026-01-06T20:36:53.206195,2026-01-06T20:40:52.770232,239.564037,0.11040147511840814,0.40797170243008163,0.00682920235473784,28.114521118543593,0.11040147511840814,0.00682920235473784,0.40797170243008163
14,COMPLETE,"[0.932585929273759, 1.4513107297946437]",2026-01-06T20:40:52.780240,2026-01-06T20:44:50.134745,237.354505,0.1005663792951208,0.44501207582338,0.007589319108189004,32.199046768753405,0.1005663792951208,0.007589319108189004,0.44501207582338
15,COMPLETE,"[1.0623397113018984, 1.1614079239814148]",2026-01-06T20:44:50.144754,2026-01-06T20:48:52.119159,241.974405,0.23073626959167692,0.5563119837833669,0.0013784954865741314,27.799520473416983,0.23073626959167692,0.0013784954865741314,0.5563119837833669
16,COMPLETE,"[1.055560722080207, 1.3308477902672309]",2026-01-06T20:48:52.129168,2026-01-06T20:52:50.018735,237.889567,0.2575981405884366,0.4287934182714353,0.004977810287301606,33.39919036581141,0.2575981405884366,0.004977810287301606,0.4287934182714353
17,COMPLETE,"[0.8418716994696004, 2.3022171044299164]",2026-01-06T20:52:50.027743,2026-01-06T20:56:50.353391,240.325648,0.018439584969346667,0.39465090334847003,0.0053597390627217615,43.61661480203874,0.018439584969346667,0.0053597390627217615,0.39465090334847003
18,COMPLETE,"[1.0673155138253696, 1.2476824317761084]",2026-01-06T20:56:50.362404,2026-01-06T21:00:47.667474,237.30507,0.2863686906325774,0.46725372841684826,0.002179543784178334,31.41702569604483,0.2863686906325774,0.002179543784178334,0.46725372841684826
19,COMPLETE,"[1.0238438091413204, 1.3482324363628875]",2026-01-06T21:00:47.677483,2026-01-06T21:04:47.189486,239.512003,0.3511718750660822,0.05406211774411059,0.0010529863089026568,47.437179977596514,0.3511718750660822,0.0010529863089026568,0.05406211774411059
20,COMPLETE,"[1.0103725760681428, 1.4005142330163096]",2026-01-06T21:04:47.199495,2026-01-06T21:08:44.910905,237.71141,0.3089219499949478,0.5074160012354971,0.00204174361464593,38.656794052483484,0.3089219499949478,0.00204174361464593,0.5074160012354971
21,COMPLETE,"[1.1396018624795947, 1.3701454177851569]",2026-01-06T21:08:44.919912,2026-01-06T21:12:43.356193,238.436281,0.28650421143996946,0.5709449381576168,0.007529519817834493,29.444444040126108,0.28650421143996946,0.007529519817834493,0.5709449381576168
22,COMPLETE,"[0.8602581395985409, 2.34881275098077]",2026-01-06T21:12:43.366202,2026-01-06T21:16:39.635737,236.269535,0.013928165830530304,0.2775083125492014,0.001804024260260152,40.29590871187694,0.013928165830530304,0.001804024260260152,0.2775083125492014
23,COMPLETE,"[1.0400816552978351, 1.149187423698911]",2026-01-06T21:16:39.645746,2026-01-06T21:20:39.765418,240.119672,0.4780049777088391,0.44518304687967347,0.0013944332665959559,23.55122973149387,0.4780049777088391,0.0013944332665959559,0.44518304687967347
24,COMPLETE,"[0.9977987093406692, 1.0468943723357222]",2026-01-06T21:20:39.776419,2026-01-06T21:24:36.810047,237.033628,0.2014864747419649,0.4264371597181579,0.0026975905376818883,23.210450149935507,0.2014864747419649,0.0026975905376818883,0.4264371597181579
